Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"12,695","12,672","$2,362 ",$0.19 
Sharks                        ,812,0,$0 ,$0.00 
Eels                          ,"3,883","3,780",$281 ,$0.07 
Bigeye scad (akule)           ,"947,137","898,770","$340,017 ",$0.38 
Mackerel scad                 ,"246,558","241,279","$96,827 ",$0.40 
Leatherjacket                 ,"1,242","1,138",$254 ,$0.22 
Ten pounder                   ,"4,721","4,665","$1,425 ",$0.31 
Bonefish                      ,"35,366","32,788","$7,194 ",$0.22 
Herrings/sardines             ,34,24,$8 ,$0.36 
Milkfish                      ,"32,654","32,039","$10,839 ",$0.34 
Flying fishes                 ,81,81,$12 ,$0.16 
Needlefishes                  ,17,17,$3 ,$0.19 
Threadfin                     ,"11,553","11,083","$10,819 ",$0.98 
Mullets                       ,"28,162","27,903","$29,077 ",$1.04 
Oilfish                       ,50,50,$1 ,$0.02 
Jacks                         ,"80,765","78,914","$42,044 ",$0.53 
Kahala (amberjack)            ,"87,241","86,312","$29,666 ",$0.34 
Blue trevally                 ,"6,439","6,419","$4,277 ",$0.67 
Hapuupuu (hawaiian grouper)   ,"21,135","20,865","$12,430 ",$0.60 
Kalekale                      ,"5,124","5,103","$3,466 ",$0.68 
Ehu (red snapper)             ,"22,886","22,593","$20,389 ",$0.90 
Gindai (flower snapper)       ,757,739,$453 ,$0.61 
Lehi (silverjaw)              ,"4,014","4,014","$1,570 ",$0.39 
Onaga (red snapper)           ,"69,946","69,656","$76,868 ",$1.10 
Opakapaka (pink snapper)      ,"90,817","84,620","$49,936 ",$0.59 
Uku (gray snapper)            ,"49,862","49,256","$24,496 ",$0.50 
Snake mackerel                ,7,7,$0 ,$0.10 
Porgy                         ,121,121,$85 ,$0.71 
Reef fishes (unknown)         ,"3,008","2,822",$868 ,$0.31 
Reef jacks                    ,737,536,$367 ,$0.69 
Squirrelfishes                ,"10,013","9,413","$6,717 ",$0.71 
Trumpetfish                   ,44,44,$19 ,$0.44 
Scorpionfishes                ,"1,439","1,364","$1,275 ",$0.94 
Mountain bass                 ,"7,362","7,299","$4,689 ",$0.64 
Bigeyes                       ,"1,855","1,790",$704 ,$0.39 
Goatfishes                    ,"67,143","65,421","$39,460 ",$0.60 
Rudderfish                    ,"1,631","1,616",$697 ,$0.43 
Damselfishes                  ,"1,508","1,492",$393 ,$0.26 
Tilapia                       ,1,1,$0 ,$0.30 
Wrasses                       ,"5,358","5,148","$2,809 ",$0.55 
Parrotfishes                  ,"5,394","5,089","$2,019 ",$0.40 
Gobies                        ,"1,404","1,374","$1,913 ",$1.39 
Surgeonfishes/tangs           ,"49,164","47,266","$11,057 ",$0.23 
Flounders                     ,158,158,$39 ,$0.25 
Filefishes                    ,185,185,$91 ,$0.50 
Pufferfishes                  ,60,54,$22 ,$0.42 
Moonfish (opah)               ,"4,307","4,307",$195 ,$0.05 
Rainbow runner                ,"1,228","1,140",$238 ,$0.21 
Mahimahi                      ,"73,782","70,078","$49,368 ",$0.70 
Barracudas                    ,"7,024","6,770","$2,553 ",$0.38 
Wahoo                         ,"28,497","23,599","$6,716 ",$0.28 
Japanese mackerel             ,102,102,$41 ,$0.41 
Skipjack tuna                 ,"9,314,447","9,311,227","$1,538,777 ",$0.17 
Yellowfin tuna                ,"415,207","411,871","$204,489 ",$0.50 
Albacore tuna                 ,"22,640","22,640","$8,214 ",$0.36 
Bigeye tuna                   ,"563,916","563,916","$498,563 ",$0.88 
Kawakawa                      ,"29,193","27,479","$4,899 ",$0.18 
Billfishes (unknown)          ,895,546,$317 ,$0.58 
Swordfish                     ,"15,388","15,182","$2,832 ",$0.19 
Blue marlin                   ,"105,072","95,088","$37,115 ",$0.39 
Black marlin                  ,"4,514","4,514","$2,916 ",$0.65 
Striped marlin                ,"413,222","411,630","$181,592 ",$0.44 
Sailfish                      ,"12,578","12,578","$2,491 ",$0.20 
Spiny lobsters                ,"4,751","4,516","$4,297 ",$0.95 
Slipper lobsters              ,26,24,$19 ,$0.83 
Crabs                         ,"46,534","45,655","$41,815 ",$0.92 
Shrimp (freshwater)           ,542,496,$617 ,$1.25 
Octopus                       ,"5,869","5,736","$3,791 ",$0.66 
Squid                         ,"3,341","3,294","$2,148 ",$0.65 
Limpets (saltwater)           ,"26,944","26,695","$18,927 ",$0.71 
Invertebrates                 ,"1,057",617,$250 ,$0.41 
Sea turtles                   ,"3,350","3,063","$2,399 ",$0.78 
Algae                         ,355,355,$111 ,$0.31 
TOTAL,"13,025,325","12,919,098","$3,453,664 ",$0.27 
